city,year,weekofyear,total_cases
sj,2010,30,88
sj,2010,31,52
sj,2010,32,90
sj,2010,33,83
sj,2010,34,102
sj,2010,35,134
sj,2010,36,64
sj,2010,37,102
sj,2010,38,46
sj,2010,39,61
sj,2010,40,68
sj,2010,41,29
sj,2010,42,40
sj,2010,43,44
sj,2010,44,50
sj,2010,45,42
sj,2010,46,29
sj,2010,47,35
sj,2010,48,16
sj,2010,49,26
sj,2010,50,48
sj,2010,51,23
sj,2011,52,33
sj,2011,1,22
sj,2011,2,25
sj,2011,3,30
sj,2011,4,33
sj,2011,5,24
sj,2011,6,18
sj,2011,7,17
sj,2011,8,17
sj,2011,9,13
sj,2011,10,13
sj,2011,11,21
sj,2011,12,23
sj,2011,13,22
sj,2011,14,21
sj,2011,15,19
sj,2011,16,18
sj,2011,17,11
sj,2011,18,23
sj,2011,19,11
sj,2011,20,23
sj,2011,21,31
sj,2011,22,34
sj,2011,23,37
sj,2011,24,171
sj,2011,25,82
sj,2011,26,51
sj,2011,27,83
sj,2011,28,45
sj,2011,29,52
sj,2011,30,95
sj,2011,31,50
sj,2011,32,90
sj,2011,33,55
sj,2011,34,180
sj,2011,35,53
sj,2011,36,36
sj,2011,37,50
sj,2011,38,28
sj,2011,39,40
sj,2011,40,78
sj,2011,41,55
sj,2011,42,20
sj,2011,43,17
sj,2011,44,34
sj,2011,45,17
sj,2011,46,36
sj,2011,47,30
sj,2011,48,30
sj,2011,49,46
sj,2011,50,72
sj,2011,51,22
sj,2012,52,21
sj,2012,1,25
sj,2012,2,19
sj,2012,3,26
sj,2012,4,24
sj,2012,5,17
sj,2012,6,25
sj,2012,7,15
sj,2012,8,14
sj,2012,9,11
sj,2012,10,16
sj,2012,11,22
sj,2012,12,15
sj,2012,13,22
sj,2012,14,22
sj,2012,15,16
sj,2012,16,14
sj,2012,17,14
sj,2012,18,40
sj,2012,19,34
sj,2012,20,25
sj,2012,21,19
sj,2012,22,14
sj,2012,23,44
sj,2012,24,24
sj,2012,25,89
sj,2012,26,67
sj,2012,27,46
sj,2012,28,44
sj,2012,29,40
sj,2012,30,60
sj,2012,31,75
sj,2012,32,60
sj,2012,33,94
sj,2012,34,42
sj,2012,35,27
sj,2012,36,63
sj,2012,37,47
sj,2012,38,40
sj,2012,39,66
sj,2012,40,55
sj,2012,41,39
sj,2012,42,49
sj,2012,43,53
sj,2012,44,62
sj,2012,45,47
sj,2012,46,27
sj,2012,47,42
sj,2012,48,24
sj,2012,49,25
sj,2012,50,25
sj,2012,51,26
sj,2013,1,27
sj,2013,2,17
sj,2013,3,10
sj,2013,4,13
sj,2013,5,20
sj,2013,6,26
sj,2013,7,23
sj,2013,8,15
sj,2013,9,12
sj,2013,10,18
sj,2013,11,25
sj,2013,12,17
sj,2013,13,21
sj,2013,14,18
sj,2013,15,18
sj,2013,16,15
sj,2013,17,21
iq,2010,26,12
iq,2010,27,3
iq,2010,28,9
iq,2010,29,4
iq,2010,30,2
iq,2010,31,6
iq,2010,32,3
iq,2010,33,4
iq,2010,34,4
iq,2010,35,8
iq,2010,36,8
iq,2010,37,3
iq,2010,38,13
iq,2010,39,12
iq,2010,40,11
iq,2010,41,8
iq,2010,42,9
iq,2010,43,13
iq,2010,44,13
iq,2010,45,17
iq,2010,46,9
iq,2010,47,7
iq,2010,48,9
iq,2010,49,9
iq,2010,50,9
iq,2010,51,10
iq,2011,52,5
iq,2011,1,10
iq,2011,2,14
iq,2011,3,8
iq,2011,4,4
iq,2011,5,6
iq,2011,6,6
iq,2011,7,14
iq,2011,8,9
iq,2011,9,12
iq,2011,10,12
iq,2011,11,9
iq,2011,12,11
iq,2011,13,7
iq,2011,14,8
iq,2011,15,9
iq,2011,16,9
iq,2011,17,7
iq,2011,18,11
iq,2011,19,4
iq,2011,20,8
iq,2011,21,6
iq,2011,22,12
iq,2011,23,4
iq,2011,24,3
iq,2011,25,4
iq,2011,26,3
iq,2011,27,7
iq,2011,28,3
iq,2011,29,2
iq,2011,30,2
iq,2011,31,3
iq,2011,32,2
iq,2011,33,4
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,7
iq,2011,38,5
iq,2011,39,3
iq,2011,40,4
iq,2011,41,7
iq,2011,42,11
iq,2011,43,6
iq,2011,44,7
iq,2011,45,15
iq,2011,46,11
iq,2011,47,8
iq,2011,48,8
iq,2011,49,9
iq,2011,50,16
iq,2011,51,7
iq,2012,52,9
iq,2012,1,6
iq,2012,2,8
iq,2012,3,4
iq,2012,4,5
iq,2012,5,8
iq,2012,6,14
iq,2012,7,10
iq,2012,8,9
iq,2012,9,4
iq,2012,10,8
iq,2012,11,4
iq,2012,12,3
iq,2012,13,10
iq,2012,14,4
iq,2012,15,18
iq,2012,16,14
iq,2012,17,6
iq,2012,18,9
iq,2012,19,3
iq,2012,20,10
iq,2012,21,3
iq,2012,22,2
iq,2012,23,5
iq,2012,24,5
iq,2012,25,3
iq,2012,26,4
iq,2012,27,5
iq,2012,28,4
iq,2012,29,5
iq,2012,30,9
iq,2012,31,3
iq,2012,32,5
iq,2012,33,6
iq,2012,34,8
iq,2012,35,6
iq,2012,36,2
iq,2012,37,3
iq,2012,38,8
iq,2012,39,11
iq,2012,40,8
iq,2012,41,9
iq,2012,42,10
iq,2012,43,11
iq,2012,44,7
iq,2012,45,9
iq,2012,46,12
iq,2012,47,38
iq,2012,48,8
iq,2012,49,9
iq,2012,50,9
iq,2012,51,8
iq,2013,1,7
iq,2013,2,6
iq,2013,3,6
iq,2013,4,11
iq,2013,5,9
iq,2013,6,9
iq,2013,7,10
iq,2013,8,12
iq,2013,9,10
iq,2013,10,10
iq,2013,11,10
iq,2013,12,13
iq,2013,13,8
iq,2013,14,10
iq,2013,15,8
iq,2013,16,10
iq,2013,17,16
iq,2013,18,4
iq,2013,19,13
iq,2013,20,13
iq,2013,21,5
iq,2013,22,13
iq,2013,23,5
iq,2013,24,3
iq,2013,25,7
iq,2013,26,2
